Tipologia,Struttura,Importo_Totale_EUR
CdC,CdC Bientina,13568.00
CdC,CdC Camaiore,8244.00
CdC,CdC Carrara,848.00
CdC,CdC Crespina,4240.00
CdC,CdC Marina Pisa,3392.00
CdC,CdC Massa,33920.00
CdC,CdC Montignoso,13568.00
CdC,CdC Pietrasanta,1696.00
CdC,CdC Pisa,6784.00
CdC,CdC Pomarance,6925.22
CdC,CdC Pontedera,9328.00
CdC,CdC Pontremoli,7632.00
CdC,CdC Portoferraio,12013.22
CdC,CdC San Giuliano,5158.61
CdC,CdC Suvereto,5158.61
CdC,CdC Vecchiano,5088.00
CdC,CdC Viareggio (terminetto),4696.00
OdC,OdC Barga,49059.03
OdC,OdC Cecina,24833.36
OdC,OdC Massa,46059.03
OdC,OdC Piombino,8615.64
OdC,OdC Viareggio,92725.55
